opponent,policy,games,wins,losses,ties,win_rate,avg_score,avg_score_delta,avg_balance_delta,bid_decisions,floor_activation_rate,floor_over_cap_rate,avg_opponent_visible_ev,avg_bid_delta
hoarder,base,6,4,2,0,0.6666666666666666,267.1666666666667,69.83333333333333,-4.666666666666667,606,0.0,0.0,0.0,0.0
hoarder,uncapped,6,3,3,0,0.5,294.1666666666667,131.0,10.666666666666666,555,0.14594594594594595,0.14594594594594595,3.6882882882882884,0.8918918918918919
hoarder,cap-1,6,3,3,0,0.5,247.0,27.333333333333332,-4.166666666666667,580,0.10689655172413794,0.10689655172413794,3.467241379310345,0.10689655172413794
hoarder,cap-2,6,3,3,0,0.5,239.66666666666666,5.333333333333333,21.0,606,0.11551155115511551,0.11551155115511551,2.8316831683168315,0.2145214521452145
hoarder,cap-4,6,4,2,0,0.6666666666666666,267.5,68.5,9.666666666666666,529,0.14555765595463138,0.14555765595463138,3.98109640831758,0.4782608695652174
hoarder,cap-8,6,5,1,0,0.8333333333333334,296.6666666666667,130.0,19.333333333333332,606,0.09075907590759076,0.09075907590759076,3.1567656765676566,0.41254125412541254
exploit-lisan,base,6,1,5,0,0.16666666666666666,159.0,-88.83333333333333,-56.833333333333336,528,0.0,0.0,0.0,0.0
exploit-lisan,uncapped,6,5,1,0,0.8333333333333334,300.0,164.83333333333334,-6.166666666666667,528,0.14393939393939395,0.14393939393939395,4.375,0.9753787878787878
exploit-lisan,cap-1,6,2,4,0,0.3333333333333333,191.16666666666666,-15.0,-21.333333333333332,528,0.13825757575757575,0.13825757575757575,3.6382575757575757,0.13825757575757575
exploit-lisan,cap-2,6,2,4,0,0.3333333333333333,190.66666666666666,-36.333333333333336,-75.66666666666667,528,0.17613636363636365,0.17613636363636365,3.590909090909091,0.3352272727272727
exploit-lisan,cap-4,6,3,3,0,0.5,240.0,67.5,27.833333333333332,528,0.14015151515151514,0.14015151515151514,4.113636363636363,0.3996212121212121
exploit-lisan,cap-8,6,4,2,0,0.6666666666666666,252.33333333333334,87.0,13.5,528,0.10984848484848485,0.10984848484848485,3.570075757575758,0.4659090909090909
word-ev-max,base,6,6,0,0,1.0,389.6666666666667,320.8333333333333,-88.16666666666667,528,0.0,0.0,0.0,0.0
word-ev-max,uncapped,6,6,0,0,1.0,387.8333333333333,315.5,-71.5,528,0.022727272727272728,0.022727272727272728,0.9829545454545454,0.125
word-ev-max,cap-1,6,6,0,0,1.0,339.6666666666667,241.0,-104.5,528,0.045454545454545456,0.045454545454545456,1.678030303030303,0.045454545454545456
word-ev-max,cap-2,6,5,1,0,0.8333333333333334,267.5,111.0,-117.0,528,0.07575757575757576,0.07575757575757576,2.757575757575758,0.13068181818181818
word-ev-max,cap-4,6,6,0,0,1.0,333.5,217.83333333333334,-82.16666666666667,528,0.045454545454545456,0.045454545454545456,1.365530303030303,0.14583333333333334
word-ev-max,cap-8,6,5,1,0,0.8333333333333334,373.1666666666667,287.6666666666667,-78.0,528,0.03787878787878788,0.03787878787878788,1.4829545454545454,0.14204545454545456
base-lisan,base,6,2,4,0,0.3333333333333333,227.5,-13.666666666666666,-34.0,606,0.0,0.0,0.0,0.0
base-lisan,uncapped,6,3,3,0,0.5,269.0,66.33333333333333,4.5,580,0.1206896551724138,0.1206896551724138,3.670689655172414,0.743103448275862
base-lisan,cap-1,6,4,2,0,0.6666666666666666,259.8333333333333,46.5,13.166666666666666,529,0.166351606805293,0.166351606805293,3.8601134215500945,0.166351606805293
base-lisan,cap-2,6,4,2,0,0.6666666666666666,288.0,108.66666666666667,14.833333333333334,606,0.11716171617161716,0.11716171617161716,3.556105610561056,0.20957095709570958
base-lisan,cap-4,6,5,1,0,0.8333333333333334,313.8333333333333,165.0,18.0,555,0.14234234234234233,0.14234234234234233,3.9441441441441443,0.4774774774774775
base-lisan,cap-8,6,6,0,0,1.0,326.3333333333333,192.0,56.333333333333336,581,0.11703958691910499,0.11703958691910499,4.192771084337349,0.576592082616179
