opponent,policy,games,wins,losses,ties,win_rate,avg_score,avg_score_delta,avg_balance_delta,bid_decisions,floor_activation_rate,floor_over_cap_rate,avg_opponent_visible_ev,avg_bid_delta
aggressive,candidate,20,11,9,0,0.55,249.8,41.1,44.15,1761,0.20954003407155025,0.20954003407155025,5.9063032367972745,1.31175468483816
aggressive,baseline,20,9,11,0,0.45,226.6,-7.15,75.65,1787,0.0,0.0,0.0,0.0
base-lisan,candidate,20,10,10,0,0.5,237.0,4.3,-32.35,1896,0.15031645569620253,0.15031645569620253,3.8718354430379747,0.7895569620253164
base-lisan,baseline,20,11,9,0,0.55,238.55,12.75,22.95,1923,0.0,0.0,0.0,0.0
consonant-heavy,candidate,20,18,2,0,0.9,340.55,228.1,63.7,1813,0.13403199117484832,0.13403199117484832,5.148372862658577,0.7992277992277992
consonant-heavy,baseline,20,19,1,0,0.95,344.05,215.5,51.7,1765,0.0,0.0,0.0,0.0
endgame-all-in,candidate,20,15,5,0,0.75,287.45,114.15,10.55,1970,0.12284263959390863,0.12284263959390863,4.143654822335026,0.6639593908629442
endgame-all-in,baseline,20,14,6,0,0.7,267.3,59.05,0.4,1865,0.0,0.0,0.0,0.0
exploit-lisan,candidate,20,11,9,0,0.55,255.45,87.5,6.05,1760,0.17727272727272728,0.17727272727272728,4.252272727272727,1.09375
exploit-lisan,baseline,20,8,12,0,0.4,198.0,-18.05,-36.35,1760,0.0,0.0,0.0,0.0
frugal,candidate,20,14,6,0,0.7,280.5,93.65,-108.25,1891,0.07720782654680064,0.07720782654680064,2.303014278159704,0.4415653093601269
frugal,baseline,20,18,2,0,0.9,325.7,177.2,-81.75,1916,0.0,0.0,0.0,0.0
hoarder,candidate,20,13,6,1,0.675,256.8,57.5,-15.35,1842,0.15309446254071662,0.15309446254071662,4.260586319218241,0.9391965255157437
hoarder,baseline,20,14,6,0,0.7,254.4,44.3,15.55,1930,0.0,0.0,0.0,0.0
lisan-surrogate,candidate,20,7,13,0,0.35,178.6,-79.35,-96.2,1760,0.22897727272727272,0.22897727272727272,4.88125,1.26875
lisan-surrogate,baseline,20,4,16,0,0.2,178.75,-77.6,-60.75,1760,0.0,0.0,0.0,0.0
low-bankroll-saver,candidate,20,15,5,0,0.75,306.8,130.4,-38.65,1868,0.16755888650963596,0.16755888650963596,4.770877944325481,1.0069593147751605
low-bankroll-saver,baseline,20,11,9,0,0.55,238.5,7.1,-18.0,1943,0.0,0.0,0.0,0.0
q-averse,candidate,20,14,6,0,0.7,276.5,83.75,-16.0,1865,0.12117962466487936,0.12117962466487936,4.020375335120644,0.7243967828418231
q-averse,baseline,20,10,10,0,0.5,232.85,-12.3,6.95,1916,0.0,0.0,0.0,0.0
random-noisy,candidate,20,19,1,0,0.95,365.95,257.65,52.25,1763,0.09472490073737946,0.09472490073737946,4.499716392512762,0.443562110039705
random-noisy,baseline,20,18,2,0,0.9,353.55,228.25,64.95,1762,0.0,0.0,0.0,0.0
vowel-heavy,candidate,20,19,1,0,0.95,378.7,290.05,69.3,1868,0.06531049250535331,0.06531049250535331,3.9164882226980726,0.45663811563169165
vowel-heavy,baseline,20,17,3,0,0.85,363.65,259.95,57.45,1996,0.0,0.0,0.0,0.0
word-ev-max,candidate,20,19,1,0,0.95,376.1,300.35,-84.35,1760,0.02215909090909091,0.02215909090909091,1.0323863636363637,0.11761363636363636
word-ev-max,baseline,20,20,0,0,1.0,378.8,300.25,-102.65,1760,0.0,0.0,0.0,0.0
